system:index,frp,.geo,latitude,longitude,cluster
0,1.23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.34161436374136,31.59081375075549]}",31.59081375075549,77.34161436374136,0
1,1.23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.34557351956612,31.59081375075549]}",31.59081375075549,77.34557351956612,0
2,1.23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.34953267539086,31.59081375075549]}",31.59081375075549,77.34953267539086,0
3,1.23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33881497575585,31.58744129853451]}",31.58744129853451,77.33881497575585,0
4,1.23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.34277398827852,31.58744129853451]}",31.58744129853451,77.34277398827852,0
5,1.23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.34673300080121,31.58744129853451]}",31.58744129853451,77.34673300080121,0
6,1.23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33601605833579,31.58406884631354]}",31.58406884631354,77.33601605833579,0
7,1.23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33997492758049,31.58406884631354]}",31.58406884631354,77.33997492758049,0
8,1.23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.3439337968252,31.58406884631354]}",31.58406884631354,77.3439337968252,0
9,0.88,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.25967802096147,31.31427266863561]}",31.31427266863561,77.25967802096147,0
10,0.88,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.2636255056966,31.31427266863561]}",31.31427266863561,77.2636255056966,0
11,0.88,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26757299043169,31.31427266863561]}",31.31427266863561,77.26757299043169,0
12,0.88,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.25691175729858,31.31090021641463]}",31.31090021641463,77.25691175729858,0
13,0.88,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26085910069497,31.31090021641463]}",31.31090021641463,77.26085910069497,0
14,0.88,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.26480644409138,31.31090021641463]}",31.31090021641463,77.26480644409138,0
15,0.88,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.25414595936033,31.307527764193658]}",31.307527764193658,77.25414595936033,0
16,0.88,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.25809316144182,31.307527764193658]}",31.307527764193658,77.25809316144182,0
17,0.88,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.2620403635233,31.307527764193658]}",31.307527764193658,77.2620403635233,0
